listing,price,brand,size
"Nicole Miller Gold Crossbody Bag with Luxurious Shine
          
      NWT",22.0,Nicole Miller,Size: OS
"NWT Kate Spade New York x Target White/Black Polka Dot Knit Crossbody Bag
          
      NWT",50.0,kate spade,Size: OS
5/$20 NWOT Ipsy Glam Bag November 2024 Snakeskin Python Shimmer Metallic,8.0,ipsy,Size: OS
Brighton love makes the world go round tote/shopping bag,18.0,Brighton,Size: OS
Mansur Gavriel Champagne Bucket Bag cognac brown Crossbody pebbled leather,450.0,Mansur Gavriel,Size: OS
Black Fringe Studded Shoulder/crossbody Bag,35.0,Blazin Roxx,Size: OS
Glamorous Gold and Brown Leopard Print Chain Strap Crossbody Bag by The Limited,23.0,The Limited,Size: OS
"Lululemon All Night Festival Bag 5L Black Gold
          
      NWT",56.0,lululemon athletica,Size: OS
Marc By Marc Jacobs Black Leather Shoulder Bag,130.0,Marc By Marc Jacobs,Size: OS
Kipling Backpack Black Travel Medium Fiona,45.0,Kipling,Size: OS
"NEW‼️ KARL LAGERFELD PARIS Slg Lanyard Wallet
          
      NWT",75.0,Karl Lagerfeld,"Size: Measurement: 7""W x 4""H x 1"""
VTG FAUX OSTRIGE LEATHER WALLET,10.0,Vintage,Size: OS
💯%AUTHENTIC  Dooney & Bourke Pebble Grain Satchel Large,180.0,Dooney & Bourke,Size: 10”h x 5.5” w x 13” Length
Stella Small Soft Tote Rebecca Minkoff Black,50.0,Rebecca Minkoff,Size: OS
"Patricia Nash Meadow Wristlet Wallet HAZELNUT nwt
          
      NWT",79.0,Patricia Nash,Size: OS
Kenneth Cole Reaction Large Cutout Tote,35.0,Kenneth Cole Reaction,Size: OS
"Loungefly Pixar The Incredibles Jack Jack Wallet NWT
          
      NWT",24.0,Loungefly,Size: OS
"MICHAEL KORS HAMILTON MEDIUM SATCHEL Dark Cherry COLOR
          
      Boutique",173.0,Michael Kors,Size: Medium
Anne Kleine Set Of Two Tote And Crossbody Bag Black Pebbled Leather Gold Accents,44.0,Anne Klein,Size: OS
"Margot New York | “Tori” Bifold Leather Wallet
          
      NWT",48.0,Margot New York,Size: OS
"Thirty One NWT Call Me Crossbody Bag in Rio Weave‎
          
      NWT",10.0,thirty-one,Size: OS
"Hand crafted Patchwork Crossbody Bag in Red and Blue
          
      NWT",10.0,Mommajsews,Size: OS
BAGUETTE Buckle Flap Shoulder Bag PU Leather Handbag Women’s Shoulder Bag Purse,25.0,Mystique Boutique,Size: OS
VERA BRADLEY Quilted Shoulder Bag Blue White Floral Pattern Purse,17.0,Vera Bradley,Size: OS
J. Crew clutch,80.0,J. Crew,Size: OS
Loewe 160th Anniversary Limited Edition Suede Shoulder Bag – Rare Find,680.0,Loewe,Size: OS
COACH Faye Crossbody Purse Bag All Black Pebbled Leather Flap F1880-F22349,46.0,Coach,Size: OS
BAGGALLINI TOWN BAG Unisex Women's CAMO GRAY CROSSBODY EUC AUTHENTIC,25.0,Baggallini,Size: OS
NWOT Tory Burch Gorgia Slouchy Quilted Leather Tote,210.0,Tory Burch,Size: OS
"Coach short chain strap in shearling -NWT- Style No. CN066 -bag strap
          
      NWT",225.0,Coach,Size: OS
Nwot Sammy crossbody purse black with snake print pattern,20.0,Sammy,Size: OS
Alfani Glossy Black Shoulder Bag,30.0,Alfani,Size: OS
Jessica Simpson Bag,25.0,Jessica Simpson,Size: OS
Very nice bag,18.0,Miztique,Size: OS
Sostanza ‎ vintage leather crossbody,50.0,Sostanza,"Size: Approx 12""W x 8"" H x 4"" at bottom"
Madewell Oversized Piazza Tote Bag in Black Leather,99.0,Madewell,Size: OS
"Kate Spade Night Rose Laptop Sleeve
          
      NWT",45.0,kate spade,Size: OS
Victoria’s Secret pink tote bag,33.0,Victoria's Secret,Size: OS
Salvatore Ferragamo Black Leather Shoulder Crossbody Bag Vintage,195.0,Salvatore Ferragamo,Size: OS
"Michael Kors - NWT, Hot Pink Polly Bag, 2 Zippered Pockets, 1 Open Pocket,
          
      NWT",85.0,Michael Kors,Size: OS
"Valentino Orlandi White Vegan Leather V Logo Strap Studded Camera Zip Bag New
          
      NWT",99.0,Valentino Orlandi,Size: OS
